Part ID,Part type,Part size (Imperial),Part value,Example Digikey Item,Cost (qty: x),Comment
"C1, C2, C19, C20",Capacitor,0603,4.7 μF,https://www.digikey.com/short/p2hdqt,$0.68,Power supply decoupling capacitors for voltage regulator and battery charger. Use X5 or X7 ceramic capacitors rated for at least 6.3V (for 5V voltage inputs)
"C3, C4, C5, C6",Capacitor,0402,100 nF,https://www.digikey.com/short/p2hrz2,$0.40,Decoupling capacitors for the microcontroller / etc. Prefer X5 or X7 ceramic capacitors.
"C7, C13",Capacitor,0402,10 nF,https://www.digikey.com/short/p2hr54,$0.20,Decoupling capacitors for the reset button and analog voltage supply. Use X7 ceramic capacitors.
C8,Capacitor,0603,1 μF,https://www.digikey.com/short/pdhnbv,$0.10,Decoupling capacitor for the analog voltage supply. Use X7 ceramic capacitors.
"C9, C10",Capacitor,0402,20 pF,https://www.digikey.com/short/pdhnbj,$0.20,Decoupling capacitors for the high-speed external oscillator crystal. Actual values will depend on your crystal; 20pF is a rough estimate. Use C0G / NP0 ceramic capacitors.
"C11, C12",Capacitor,0402,5 pF,https://www.digikey.com/short/pdhnbc,$0.20,Decoupling capacitors for the low-speed external oscillator crystal. Actual values will depend on your crystal; 5pF is a rough estimate. Use C0G / NP0 capacitors.
"C14, C15, C16, C17",Capacitor,0603,220 nF,https://www.digikey.com/short/pdhnhv,$0.40,Filtering capacitors for the audio amplifier's input and output. Use X7 ceramic capacitors.
C18,Capacitor,0805,10 μF,https://www.digikey.com/short/pdhn55,$0.13,Power supply decoupling capacitor for the audio amplifier. Use X5 or X7 ceramic capacitors.
"CN1, CN2",Capacitor Network,0612,10 nF,https://www.digikey.com/short/pdhr2m,$0.64,Capacitor arrays for various debouncing filters. Values aren't too important; it's just to help prevent the microcontroller from incorrectly registering spurious button presses.
D1,TVS Diode Network,SOT-143-4,SP0503,https://www.digikey.com/short/pdhfqd,$0.82,3-in-1 TVS diodes for USB data line filtering. These diodes should protect the two differential data lines and the OTG 'ID' line.
D2,Photodiode,0603,ALS-PT19,https://www.digikey.com/short/pdhfq3,$0.43,Photodiode for detecting ambient light levels. I hope this can be used for automatic brightness adjustment.
D3,LED,0603,Any Color,https://www.digikey.com/short/p2hdpf,$0.14,"Heartbeat' LED, for basic testing and blinking."
D4,Schottky Diode,SOD-123,">= 10V, 1A",https://www.digikey.com/short/pdhw7b,$0.33,Schottky diode to protect against reverse polarity.
D5,LED,0603,Red,https://www.digikey.com/short/pdh21f,$0.14,"""Charging"" LED, lit up when the battery is charging."
D6,LED,0603,Green,https://www.digikey.com/short/pdh21m,$0.14,"""Done"" LED, lit up when the battery has finished charging."
FB1,Ferrite Bead,0603,N/A,https://www.digikey.com/short/p2h080,$0.10,Ferrite bead for filtering noise out of the analog voltage supply.
"FB2, FB3",Ferrite Bead,0603,N/A,https://www.digikey.com/short/p2h080,$0.20,Ferrite beads for filtering the audio amplifier's differential output.
J1,Pin Header,"0.1""",1x4,https://www.digikey.com/short/pdhw3q,$0.13,Programming / debugging header.
J2,USB Connector,Micro-B Socket,N/A,https://www.digikey.com/short/pdhw81,$2.07,"Micro-USB connector for battery charging and USB communication. I'm still working through a reel of cheap-o micro-B sockets that I ordered awhile ago, but they seem to fit the ""Wuerth_629105150521"" footprint in KiCAD."
J3,MicroSD Connector,Socket,Hirose DM3D-SF,https://www.digikey.com/short/pdh2z2,$1.75,"MicroSD card socket, for storing maps / images / routes / logs / etc."
J4,Pin Header,"0.1""",1x4,https://item.taobao.com/item.htm?id=40580284168,$2.50,"GPS breakout connector for a generic 4-pin uBlox Neo-6m GPS breakout board. This project is designed to fit a blue-colored ""GY-NEO6MV2"" breakout board, which is a cheap module that is widely available on eBay / Amazon / AliExpress / TaoBao / etc. These modules are much cheaper from Eastern listings than from Western ones. I've noticed that red-colored versions of this GPS module seem to have a different pinout that won't fit, so double-check the module's silkscreen markings against this project's schematic before you order one. Sorry that I can't link to a more reliable source; I can't endorse any particular third-party marketplace seller, including the one linked to here, and ordering from eBay-style sellers is never a completely sure bet. Maybe in the future I'll try to integrate the ublox module itself on the board."
"J5, J6",Pin Header,"0.1""",1x4,N/A,$0.00,Flat single-side connectors for auxiliary UART and I2C add-ons. Optional.
J7,JST Connector,PH-2,1x2,https://www.digikey.com/short/pdh24c,$0.17,"Battery connector - the JST PH-2 connector is popular among small lithium batteries, such as those sold by Adafruit. Double-check the polarity!"
J8,Flex Ribbon Connector,0.8 mm,1x18,https://item.taobao.com/item.htm?id=540901079780,$3.33,"Connector for an 18-pin / 0.8mm-pitch 2.8"" ILI9341 SPI TFT display with a resistive 'touch screen' overlay. These are cheap and widely-available from places like eBay / AliExpress / TaoBao / etc. DigiKey doesn't carry them, but using surplus 'off-brand' displays often saves about $10-20 per board for us hobbyists. Double-check the pinout against the listing you buy from, and consider using a different vendor or a forwarding service if you aren't familiar with ordering from TaoBao."
J9,Pin Header,"0.1""",1x3,N/A,$0.00,"Flat single-side 3-pin connector for adding a ""K-Wire"" interface board later on. My motorcycle uses this old standard which predates OBD-II, and while it is a 12V single-wire protocol, I hope to eventually make an adapter board which isolates 'transmit' and 'receive' signals for use with a UART peripheral."
LS1,Speaker,2-Wire,4 Ω,https://www.digikey.com/short/pdhnmp,$2.35,Speaker for the single-channel audio amplifier output.
Q1,Transistor,SOT-23,"NPN, BEC",https://www.digikey.com/short/pdhf4v,$0.12,Transistor to control the TFT display's backlight brightness using PWM.
R1,Resistor,0603,1 KΩ,https://www.digikey.com/short/p2hdw9,$0.10,"Base resistor for the TFT backlight control transistor. Value doesn't matter too much, keep it in the range of about 100Ω - 10KΩ"
"R2, R3",Resistor,0603,"100 KΩ, 1%",https://www.digikey.com/short/pdh2b7,$0.10,"Resistors for the voltage divider which lets the microcontroller read its own battery voltage. Use resistors with 1% precision, or choose two which have almost identical values."
R4,Resistor,0603,10 KΩ,https://www.digikey.com/short/pdh29r,$0.10,"Resistor which lets the microcontroller read an analog voltage from its photodiode input. Prefer resistors with 1% precision, but you'll probably have to calibrate the brightness reading anyways since photodiodes aren't very precise."
R5,Resistor,0603,">= 2 KΩ, 1%",https://www.digikey.com/short/pdh2b4,$0.10,"This resistor sets the rate of charge for the battery charger. Charge current = 1000 / R, so use 2KΩ for a 500mA charge rate, 10KΩ for a 100mA charge rate, etc. 500mA is the maximum charge rate. Use resistors with 1% precision to ensure you get the right charge rate."
"R6, R7, R8",Resistor,0603,220Ω - 4.7KΩ,https://www.digikey.com/short/p2hdw9,$0.30,"Current-limiting resistors for the ""charging"", ""done charging"", and ""heartbeat"" LEDs. Use higher values to make the LEDs dimmer."
RN1,Resistor Network,1506,1 KΩ,https://www.digikey.com/short/pdhr1z,$0.29,Resistor array for various debouncing filters. Value isn't too important; it's just to help prevent the microcontroller from reading spurious button presses.
RV1,Varistor,0603,5.5V (7.1V-9.3V),https://www.digikey.com/short/pdhrv3,$0.48,"TVS varistor for the +5V power line. It should serve a similar function to the TVS diodes on the data lines, protecting the system from Transient Voltage surges."
SW1,Tactile Button,SMD,SPST,https://www.digikey.com/short/pdhr0w,$0.22,Reset button.
SW2,Slide Switch,SMD,SPDT,https://www.digikey.com/short/pd2qtz,$0.91,"""Mute"" switch for the speaker."
"SW3, SW4",Tactile Button,SMD,SPST,https://www.digikey.com/short/pdhr0w,$0.44,"""Mode"" and ""Back"" tacticle buttons (user input)."
SW5,Power Switch,Generic,125V / 10A,https://www.digikey.com/short/pdh2pn,$0.60,"These 125V / 10A ""rocker switches"" are very common - you might have some lying around that would fit the footprint."
SW6,Navigation Switch,SMD,5-Direction,https://www.digikey.com/short/pdhr0h,$2.38,"""Navigation switch"" for user input. It has four directional buttons and one ""press"" button, plus a common pin which I connected to ground."
U1,Microcontroller,QFP-64 (10x10 mm),STM32L496,https://www.digikey.com/short/pdhrd8,$10.99,"Microcontroller core. The STM32L496Rx is available with either 512KB or 1MB of Flash memory. ""-T6"" suffix is rated to 85C, ""-T3"" to 125C. The 1MB / 125C version is less than $1 more expensive than the 512KB / 85C one, so I linked to the better one."
U2,Voltage Regulator,SOT-25,AP7365,https://www.digikey.com/short/pdh2m9,$0.52,"Main voltage regulator. I sometimes use a 3V version of this part instead of 3.3V to let the battery stretch a little more, but I linked to the more common 3.3V version here."
U3,Audio Amplifier,MSOP-8 (3x3 mm),PAM8302A,https://www.digikey.com/short/pdhwt9,$0.63,Simple 2.5W mono audio amplifier. Mostly just for beeping and buzzing.
U4,Battery Charger,SOT-25,MCP73831,https://www.digikey.com/short/pdhw7v,$0.56,"Battery charging circuit. I use the 4.2V version with ""3.7V nominal / 4.2V charge"" lithium batteries."
Y1,Crystal,5x3.2 mm,8 MHz,https://www.digikey.com/short/pdhr1d,$1.14,"""High-Speed External"" oscillator crystal. You can use values between 4MHz and 32MHz, but I usually use 8MHz."
Y2,Crystal,3.2x1.5 mm,32.768 KHz,https://www.digikey.com/short/p2h0zh,$0.41,"""Low-Speed External"" oscillator crystal."
Total:,,,,,$37.94,"You can shave a decent amount off this price by using generic connectors / crystals / etc, and by buying capacitors / resistors / diodes / etc in bulk. Just be sure to verify the footprints."
